iter: 00000, transfer_loss: -2.57224, clf_loss: 0.76305
iter: 00020, transfer_loss: -3.30425, clf_loss: 0.85199
iter: 00040, transfer_loss: -3.49347, clf_loss: 0.55723
iter: 00060, transfer_loss: -3.43965, clf_loss: 0.40227
iter: 00080, transfer_loss: -3.43392, clf_loss: 0.34342
iter: 00100, transfer_loss: -3.27851, clf_loss: 0.26729
iter: 00120, transfer_loss: -3.53321, clf_loss: 0.55116
iter: 00140, transfer_loss: -3.46141, clf_loss: 0.34868
iter: 00160, transfer_loss: -3.39483, clf_loss: 0.16799
iter: 00180, transfer_loss: -3.21680, clf_loss: 0.20102
iter: 00200, transfer_loss: -3.26525, clf_loss: 0.63661
iter: 00220, transfer_loss: -3.42928, clf_loss: 0.56070
iter: 00240, transfer_loss: -3.27108, clf_loss: 0.30137
iter: 00260, transfer_loss: -3.39584, clf_loss: 0.51943
iter: 00280, transfer_loss: -3.50259, clf_loss: 0.62497
iter: 00300, transfer_loss: -3.69813, clf_loss: 0.86366
iter: 00320, transfer_loss: -3.55508, clf_loss: 0.29560
iter: 00340, transfer_loss: -3.33021, clf_loss: 0.62057
iter: 00360, transfer_loss: -3.49929, clf_loss: 0.25269
iter: 00380, transfer_loss: -3.48749, clf_loss: 0.36922
iter: 00400, transfer_loss: -3.38491, clf_loss: 0.20303
iter: 00420, transfer_loss: -3.40213, clf_loss: 0.61845
iter: 00440, transfer_loss: -3.33998, clf_loss: 0.09934
iter: 00460, transfer_loss: -3.51228, clf_loss: 0.15509
iter: 00480, transfer_loss: -3.42122, clf_loss: 0.19739
iter: 00499, precision: 0.93800, best: 0.93800
iter: 00500, transfer_loss: -3.56864, clf_loss: 0.54638
iter: 00520, transfer_loss: -3.11929, clf_loss: 0.16605
iter: 00540, transfer_loss: -3.38988, clf_loss: 0.49980
iter: 00560, transfer_loss: -3.52912, clf_loss: 0.36692
iter: 00580, transfer_loss: -3.55329, clf_loss: 0.47469
iter: 00600, transfer_loss: -3.35793, clf_loss: 0.48692
iter: 00620, transfer_loss: -3.51592, clf_loss: 0.46635
iter: 00640, transfer_loss: -3.47924, clf_loss: 0.19162
iter: 00660, transfer_loss: -3.44391, clf_loss: 0.47860
iter: 00680, transfer_loss: -3.45186, clf_loss: 0.28584
iter: 00700, transfer_loss: -3.51415, clf_loss: 0.40219
iter: 00720, transfer_loss: -3.61388, clf_loss: 0.45303
iter: 00740, transfer_loss: -3.49770, clf_loss: 0.91354
iter: 00760, transfer_loss: -3.30226, clf_loss: 0.44501
iter: 00780, transfer_loss: -3.45151, clf_loss: 0.31693
iter: 00800, transfer_loss: -3.55496, clf_loss: 0.50037
iter: 00820, transfer_loss: -3.52084, clf_loss: 0.22948
iter: 00840, transfer_loss: -3.40249, clf_loss: 0.95980
iter: 00860, transfer_loss: -3.44427, clf_loss: 0.94032
iter: 00880, transfer_loss: -3.54513, clf_loss: 0.55617
iter: 00900, transfer_loss: -3.41633, clf_loss: 0.62119
iter: 00920, transfer_loss: -3.55903, clf_loss: 0.39896
iter: 00940, transfer_loss: -3.40330, clf_loss: 0.19717
iter: 00960, transfer_loss: -3.47423, clf_loss: 0.38839
iter: 00980, transfer_loss: -3.38024, clf_loss: 0.27044
iter: 00999, precision: 0.91126, best: 0.93800
