iter: 00000, transfer_loss: -2.71426, clf_loss: 0.82471
iter: 00020, transfer_loss: -3.68167, clf_loss: 1.89755
iter: 00040, transfer_loss: -3.61062, clf_loss: 0.71022
iter: 00060, transfer_loss: -3.70870, clf_loss: 0.92766
iter: 00080, transfer_loss: -3.53908, clf_loss: 0.75784
iter: 00099, ROC-AUC: 0.66371, best: 0.66371
iter: 00100, transfer_loss: -3.79160, clf_loss: 0.86596
iter: 00120, transfer_loss: -3.59169, clf_loss: 0.49829
iter: 00140, transfer_loss: -3.71966, clf_loss: 0.44292
iter: 00160, transfer_loss: -3.71866, clf_loss: 0.68119
iter: 00180, transfer_loss: -3.90599, clf_loss: 1.58895
iter: 00199, ROC-AUC: 0.71292, best: 0.71292
iter: 00200, transfer_loss: -3.64216, clf_loss: 0.95628
iter: 00220, transfer_loss: -3.48570, clf_loss: 0.61540
iter: 00240, transfer_loss: -3.75325, clf_loss: 0.63377
iter: 00260, transfer_loss: -3.84777, clf_loss: 0.89763
iter: 00280, transfer_loss: -3.92060, clf_loss: 0.62636
iter: 00299, ROC-AUC: 0.68510, best: 0.71292
iter: 00300, transfer_loss: -3.71762, clf_loss: 0.60700
iter: 00320, transfer_loss: -3.72794, clf_loss: 1.03815
iter: 00340, transfer_loss: -3.82505, clf_loss: 0.39811
iter: 00360, transfer_loss: -3.66440, clf_loss: 0.56341
iter: 00380, transfer_loss: -3.70726, clf_loss: 0.33053
iter: 00399, ROC-AUC: 0.74074, best: 0.74074
iter: 00400, transfer_loss: -3.79019, clf_loss: 0.78788
iter: 00420, transfer_loss: -3.87563, clf_loss: 1.07916
iter: 00440, transfer_loss: -3.90263, clf_loss: 0.53490
iter: 00460, transfer_loss: -3.93621, clf_loss: 0.45203
iter: 00480, transfer_loss: -3.79489, clf_loss: 0.72994
iter: 00499, ROC-AUC: 0.63606, best: 0.74074
iter: 00500, transfer_loss: -3.85304, clf_loss: 0.71845
iter: 00520, transfer_loss: -3.96294, clf_loss: 0.60763
iter: 00540, transfer_loss: -3.96082, clf_loss: 0.58233
iter: 00560, transfer_loss: -3.73129, clf_loss: 0.82807
iter: 00580, transfer_loss: -3.54792, clf_loss: 0.78021
iter: 00599, ROC-AUC: 0.67797, best: 0.74074
iter: 00600, transfer_loss: -3.75486, clf_loss: 0.50089
iter: 00620, transfer_loss: -3.29384, clf_loss: 0.78469
iter: 00640, transfer_loss: -3.79360, clf_loss: 0.54789
iter: 00660, transfer_loss: -3.96582, clf_loss: 0.33223
iter: 00680, transfer_loss: -3.66310, clf_loss: 0.87530
iter: 00699, ROC-AUC: 0.74909, best: 0.74909
iter: 00700, transfer_loss: -3.91635, clf_loss: 0.50365
iter: 00720, transfer_loss: -3.89847, clf_loss: 0.57091
iter: 00740, transfer_loss: -3.90299, clf_loss: 0.47789
iter: 00760, transfer_loss: -3.82857, clf_loss: 0.55207
iter: 00780, transfer_loss: -3.93128, clf_loss: 0.53738
iter: 00799, ROC-AUC: 0.73918, best: 0.74909
iter: 00800, transfer_loss: -3.89253, clf_loss: 0.81586
iter: 00820, transfer_loss: -3.77957, clf_loss: 0.72274
iter: 00840, transfer_loss: -3.92644, clf_loss: 0.31639
iter: 00860, transfer_loss: -3.96296, clf_loss: 0.98038
iter: 00880, transfer_loss: -3.95993, clf_loss: 1.07194
iter: 00899, ROC-AUC: 0.62563, best: 0.74909
iter: 00900, transfer_loss: -3.81932, clf_loss: 0.79073
iter: 00920, transfer_loss: -3.97466, clf_loss: 0.48598
iter: 00940, transfer_loss: -3.94282, clf_loss: 0.40816
iter: 00960, transfer_loss: -3.85936, clf_loss: 0.72048
iter: 00980, transfer_loss: -3.96942, clf_loss: 0.49650
iter: 00999, ROC-AUC: 0.69188, best: 0.74909
